u_id,facet,true_country,patch_rank,patch_row,patch_col,occlusion_score,label,label_key,label_score,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_H
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,1,1,2,0.078083,H,H_appearance,0.854574,0.011739,0.015893,0.019808,0.034098,0.046059,0.008268,0.009561,0.854574
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,2,2,2,0.068599,H,H_appearance,0.576503,0.044497,0.111281,0.028558,0.115536,0.087469,0.008123,0.028034,0.576503
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,3,0,1,0.057934,H,H_appearance,0.904083,0.011665,0.003897,0.021606,0.027072,0.018013,0.002039,0.011624,0.904083
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,1,3,3,0.567264,H,H_appearance,0.589978,0.043868,0.02091,0.035838,0.053881,0.205371,0.016183,0.033972,0.589978
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,2,6,2,0.227879,H,H_appearance,0.560844,0.051981,0.045902,0.04266,0.17885,0.050559,0.020101,0.049104,0.560844
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,3,3,5,0.226598,H,H_appearance,0.376741,0.116745,0.017484,0.077887,0.145077,0.092566,0.021429,0.152071,0.376741
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,1,2,2,0.138647,F,F_ritual,0.292621,0.020661,0.058022,0.099342,0.269115,0.168293,0.292621,0.00424,0.087705
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,2,1,2,0.086845,D,D_food,0.264442,0.036088,0.024741,0.130975,0.264442,0.260622,0.022375,0.008126,0.25263
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,3,1,3,0.069607,H,H_appearance,0.299299,0.148501,0.021155,0.058466,0.130003,0.260425,0.025407,0.056744,0.299299
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,1,2,1,0.165123,D,D_food,0.708352,0.000753,0.113746,0.008384,0.708352,0.019667,0.116086,0.00099,0.032021
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,2,1,1,0.146785,H,H_appearance,0.516504,0.014702,0.205735,0.08477,0.091393,0.054878,0.01683,0.015187,0.516504
